Buyers,Seller 1,Seller 2,Seller 3,Seller 4,AveragePrice, AverageDistance, RaijJainFairness
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.07023851604507723
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist],,,-955.182693430657,avgDist,0.07023851604507723
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.6167903217603594
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist],,198.87352448453606,avgDist,0.6167903217603594
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.5195406928913907
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist],,32.826699669966935,avgDist,0.5195406928913907
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.4794314932210452
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist],,-34.554765662362556,avgDist,0.4794314932210452
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.7359365400082722
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist],421.1180810751266,avgDist,0.7359365400082722
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.71104835835843
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist],371.77906294272407,avgDist,0.71104835835843
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.6098116805957191
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist],186.68275812274356,avgDist,0.6098116805957191
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.17119463248215896
Buyer 2,, [$=1854 x=739 d=dist] [$=1792 x=359 d=dist] [$=5355 x=850 d=dist] [$=7563 x=498 d=dist] [$=8024 x=294 d=dist], [$=8886 x=364 d=dist] [$=1771 x=835 d=dist] [$=2504 x=243 d=dist], [$=5759 x=357 d=dist] [$=6177 x=402 d=dist] [$=4061 x=599 d=dist] [$=9282 x=823 d=dist],-629.8246550369322,avgDist,0.17119463248215896
Buyer 1, [$=5492 x=281 d=dist] [$=2585 x=638 d=dist],,,,1679.2731229597389,avgDist,0.0009378182003794251
